Service_Type,Department,Current_Queue,Available_Staff,Emergency_Cases,Previous_Average_Wait,Day,Hour,Waiting_Time
Hospital,General,56,13,14,47,Tuesday,14,58
Government Office,General,87,7,10,15,Monday,17,55
Hospital,Loan Department,104,8,23,7,Monday,15,87
Government Office,Emergency,25,1,11,26,Tuesday,19,41
Hospital,Emergency,112,9,16,31,Wednesday,20,67
Hospital,General,64,14,14,55,Friday,19,47
Government Office,Emergency,59,4,24,7,Monday,19,66
Hospital,Cardiology,43,2,3,29,Friday,16,50
Bank,Customer Service,18,2,8,30,Saturday,19,30
Government Office,Emergency,75,12,7,51,Wednesday,19,37
Government Office,Emergency,82,1,3,54,Friday,10,53
Bank,Emergency,58,10,3,58,Wednesday,13,52
Hospital,General,67,2,11,38,Monday,20,63
Bank,General,82,7,24,44,Saturday,15,96
Hospital,General,84,13,17,51,Friday,12,73
Bank,Customer Service,64,12,12,45,Thursday,19,47
Hospital,Loan Department,19,13,0,29,Thursday,20,5
Government Office,General,39,1,4,46,Monday,10,43
Bank,Customer Service,45,12,6,13,Saturday,14,19
Bank,Cardiology,27,14,23,41,Friday,14,60
Hospital,Cardiology,48,8,21,31,Friday,10,44
Bank,Customer Service,5,5,22,18,Thursday,10,43
Bank,General,31,9,14,19,Friday,14,42
Bank,General,67,7,16,56,Friday,10,60
Hospital,Loan Department,100,4,4,27,Thursday,20,58
Hospital,Emergency,40,13,6,55,Friday,20,33
Government Office,Loan Department,32,2,9,49,Tuesday,13,56
Bank,General,32,12,11,24,Thursday,19,17
Hospital,Emergency,96,9,6,37,Monday,18,53
Bank,Cardiology,81,9,2,43,Thursday,16,46
Hospital,Customer Service,76,11,8,41,Tuesday,13,50
Bank,Loan Department,83,11,21,36,Tuesday,15,85
Hospital,Loan Department,109,4,16,53,Friday,15,99
Bank,Loan Department,6,3,16,41,Tuesday,14,51
Government Office,Cardiology,60,1,16,6,Thursday,8,53
Bank,Customer Service,100,1,0,23,Wednesday,12,66
Bank,Customer Service,57,12,5,36,Tuesday,9,19
Bank,Customer Service,21,6,23,9,Thursday,15,58
Government Office,Cardiology,102,6,21,15,Tuesday,11,80
Hospital,Cardiology,63,6,15,33,Friday,16,73
Bank,General,24,12,3,23,Wednesday,10,5
Government Office,Customer Service,100,7,19,45,Friday,11,84
Government Office,General,44,7,17,44,Wednesday,8,50
Government Office,Cardiology,54,7,9,39,Thursday,16,51
Bank,General,20,10,15,56,Saturday,14,43
Government Office,Loan Department,73,5,22,13,Thursday,19,68
Bank,Emergency,103,3,15,20,Wednesday,16,92
Hospital,Customer Service,117,8,3,42,Saturday,18,63
Hospital,Cardiology,88,14,2,52,Thursday,15,50
Bank,Customer Service,22,14,17,6,Thursday,20,11
Hospital,Cardiology,39,13,8,40,Tuesday,13,30
Government Office,Emergency,52,4,23,12,Tuesday,12,80
Government Office,Emergency,71,1,0,52,Saturday,14,62
Government Office,Cardiology,26,14,5,42,Thursday,14,19
Bank,Emergency,55,6,7,31,Thursday,20,27
Hospital,Cardiology,32,1,4,52,Monday,8,34
Bank,General,8,3,16,21,Monday,10,34
Hospital,General,10,3,8,41,Saturday,12,43
Hospital,Cardiology,97,1,13,57,Tuesday,15,102
Government Office,Emergency,67,13,20,36,Thursday,11,53
Bank,Loan Department,37,3,17,29,Tuesday,14,72
Government Office,Loan Department,108,14,23,54,Friday,10,79
Hospital,Cardiology,27,2,9,6,Thursday,13,46
Government Office,Emergency,47,6,15,43,Wednesday,16,64
Hospital,Loan Department,46,7,2,54,Tuesday,20,32
